dt,Hr,Entry Fee,Seats,Rake Percent,Rake,Users,Wager
"July 1, 2018",0,10,2,15.00%,81,36,540
"July 1, 2018",0,10,6,15.00%,1050,381,6540
"July 1, 2018",0,25,2,15.00%,405,51,2700
"July 1, 2018",0,25,6,15.00%,2454,417,15600
"July 1, 2018",0,50,2,15.00%,45,6,300
"July 1, 2018",0,50,6,15.00%,1779,168,11400
"July 1, 2018",0,100,2,15.00%,540,18,3600
"July 1, 2018",0,100,6,15.00%,8595,285,53700
"July 1, 2018",0,250,6,15.00%,8775,135,54000
"July 1, 2018",0,500,2,12.00%,360,6,3000
"July 1, 2018",0,500,6,12.00%,8640,84,66000
"July 1, 2018",0,1000,2,10.00%,600,6,6000
"July 1, 2018",0,1000,6,10.00%,33600,120,312000
"July 1, 2018",0,3000,2,10.00%,1800,6,18000
"July 1, 2018",0,3000,6,10.00%,50400,66,468000
"July 1, 2018",0,5000,2,8.00%,7200,12,90000
"July 1, 2018",0,10000,2,6.00%,10800,9,180000
"July 1, 2018",1,10,2,15.00%,81,36,540
"July 1, 2018",1,10,6,15.00%,555,246,3510
"July 1, 2018",1,25,2,15.00%,249,36,1650
"July 1, 2018",1,25,6,15.00%,1362,198,8625
"July 1, 2018",1,50,6,15.00%,1800,159,11100
"July 1, 2018",1,100,2,15.00%,90,6,600
"July 1, 2018",1,100,6,15.00%,5670,210,35400
"July 1, 2018",1,250,6,15.00%,7539,117,46500
"July 1, 2018",1,500,6,12.00%,4140,48,33000
"July 1, 2018",1,1000,6,10.00%,36000,132,333000
"July 1, 2018",1,3000,2,10.00%,3600,9,36000
"July 1, 2018",1,3000,6,10.00%,36000,42,315000
"July 1, 2018",1,10000,2,6.00%,7200,12,120000
"July 1, 2018",2,10,2,15.00%,81,18,540
"July 1, 2018",2,10,6,15.00%,384,171,2550
"July 1, 2018",2,25,2,15.00%,159,30,1050
"July 1, 2018",2,25,6,15.00%,978,159,6300
"July 1, 2018",2,50,6,15.00%,1194,114,7800
"July 1, 2018",2,100,2,15.00%,90,6,600
"July 1, 2018",2,100,6,15.00%,4320,150,26700
"July 1, 2018",2,250,6,15.00%,4050,54,24750
"July 1, 2018",2,500,6,12.00%,5580,51,45000
"July 1, 2018",2,1000,6,10.00%,18300,93,168000
"July 1, 2018",2,3000,6,10.00%,22500,27,216000
"July 1, 2018",2,10000,2,6.00%,14400,9,240000
"July 1, 2018",3,10,2,15.00%,9,6,60
"July 1, 2018",3,10,6,15.00%,285,96,1860
"July 1, 2018",3,25,2,15.00%,45,6,300
"July 1, 2018",3,25,6,15.00%,372,63,2475
"July 1, 2018",3,50,6,15.00%,405,36,2550
"July 1, 2018",3,100,6,15.00%,2205,90,13200
"July 1, 2018",3,250,6,15.00%,1464,30,9750
"July 1, 2018",3,500,6,12.00%,3060,33,22500
"July 1, 2018",3,1000,6,10.00%,9900,39,96000
"July 1, 2018",3,3000,6,10.00%,22500,27,207000
"July 1, 2018",3,10000,2,6.00%,14400,6,240000
"July 1, 2018",4,10,2,15.00%,9,6,60
"July 1, 2018",4,10,6,15.00%,114,45,690
"July 1, 2018",4,25,2,15.00%,90,6,600
"July 1, 2018",4,25,6,15.00%,204,33,1275
"July 1, 2018",4,50,2,15.00%,45,6,300
"July 1, 2018",4,50,6,15.00%,135,12,900
"July 1, 2018",4,100,6,15.00%,675,27,4200
"July 1, 2018",4,250,6,15.00%,3600,45,21750
"July 1, 2018",4,500,6,12.00%,720,9,6000
"July 1, 2018",4,1000,6,10.00%,4800,27,36000
"July 1, 2018",4,3000,2,10.00%,3600,9,36000
"July 1, 2018",4,3000,6,10.00%,12600,24,117000
"July 1, 2018",4,10000,2,6.00%,14400,9,240000
